:START_ID,:END_ID,:TYPE
Disease:4489,Disease:3889,COMORBID_WITH
Disease:4578,Disease:9113,COMORBID_WITH
Disease:1430,Disease:1527,COMORBID_WITH
Disease:8001,Disease:943,COMORBID_WITH
Disease:6838,Disease:4178,COMORBID_WITH
Disease:6906,Disease:5124,COMORBID_WITH
Disease:4296,Disease:7998,COMORBID_WITH
Disease:1531,Disease:9285,COMORBID_WITH
Disease:6501,Disease:905,COMORBID_WITH
Disease:4178,Disease:9285,COMORBID_WITH
Disease:7043,Disease:5777,COMORBID_WITH
Disease:7959,Disease:9113,COMORBID_WITH
Disease:9122,Disease:3912,COMORBID_WITH
Disease:8945,Disease:4128,COMORBID_WITH
Disease:6035,Disease:3889,COMORBID_WITH
Disease:4592,Disease:1500,COMORBID_WITH
Disease:5738,Disease:4128,COMORBID_WITH
Disease:1513,Disease:9113,COMORBID_WITH
Disease:5777,Disease:900,COMORBID_WITH
Disease:922,Disease:4412,COMORBID_WITH
Disease:4168,Disease:9113,COMORBID_WITH
Disease:1499,Disease:9259,COMORBID_WITH
Disease:9262,Disease:3912,COMORBID_WITH
Disease:2913,Disease:8179,COMORBID_WITH
Disease:4078,Disease:6503,COMORBID_WITH
Disease:9586,Disease:932,COMORBID_WITH
Disease:6035,Disease:9285,COMORBID_WITH
Disease:6624,Disease:3889,COMORBID_WITH
Disease:9422,Disease:4178,COMORBID_WITH
Disease:1511,Disease:6336,COMORBID_WITH
Disease:5232,Disease:943,COMORBID_WITH
Disease:6174,Disease:9232,COMORBID_WITH
Disease:1518,Disease:862,COMORBID_WITH
Disease:9262,Disease:943,COMORBID_WITH
Disease:852,Disease:4178,COMORBID_WITH
Disease:8002,Disease:4079,COMORBID_WITH
Disease:9380,Disease:862,COMORBID_WITH
Disease:9277,Disease:3889,COMORBID_WITH
Disease:1470,Disease:900,COMORBID_WITH
Disease:7866,Disease:6519,COMORBID_WITH
Disease:4674,Disease:4412,COMORBID_WITH
Disease:9422,Disease:932,COMORBID_WITH
Disease:4672,Disease:932,COMORBID_WITH
Disease:7866,Disease:9689,COMORBID_WITH
Disease:9690,Disease:9116,COMORBID_WITH
Disease:9163,Disease:9580,COMORBID_WITH
Disease:5777,Disease:5124,COMORBID_WITH
Disease:6527,Disease:862,COMORBID_WITH
Disease:1514,Disease:5777,COMORBID_WITH
Disease:9589,Disease:3889,COMORBID_WITH
Disease:5957,Disease:9012,COMORBID_WITH
Disease:928,Disease:932,COMORBID_WITH
Disease:8177,Disease:838,COMORBID_WITH
Disease:9366,Disease:9116,COMORBID_WITH
Disease:5832,Disease:862,COMORBID_WITH
Disease:5237,Disease:943,COMORBID_WITH
Disease:4561,Disease:1529,COMORBID_WITH
Disease:6368,Disease:9113,COMORBID_WITH
Disease:10066,Disease:3889,COMORBID_WITH
Disease:9037,Disease:9116,COMORBID_WITH
Disease:1467,Disease:7961,COMORBID_WITH
Disease:6419,Disease:4412,COMORBID_WITH
Disease:932,Disease:7961,COMORBID_WITH
Disease:6428,Disease:1529,COMORBID_WITH
Disease:9259,Disease:862,COMORBID_WITH
Disease:5756,Disease:905,COMORBID_WITH
Disease:4592,Disease:5124,COMORBID_WITH
Disease:8179,Disease:900,COMORBID_WITH
Disease:4119,Disease:7961,COMORBID_WITH
Disease:9210,Disease:9093,COMORBID_WITH
Disease:6520,Disease:943,COMORBID_WITH
Disease:4079,Disease:2853,COMORBID_WITH
